Year,Month,Radiation,Temperature,Humidity,WindSpeed
2017,9,20.06,28.26,68.42,2.05
2017,10,19.99,27.56,39.25,1.51
2017,11,15.21,22.23,27.05,1.64
2017,12,13.26,18.2,31.26,1.86
2018,1,15.96,17.89,23.44,1.58
2018,2,17.67,21.91,24.25,1.79
2018,3,22.62,26.86,20.27,1.93
2018,4,25.07,32.1,19.27,2.46
2018,5,25.93,35.47,21.36,3.1
2018,6,23.41,34.89,42.74,4.6
2018,7,18.18,30.74,66.04,3.32
2018,8,17.62,29.47,68.16,3.09
2018,9,19.36,28.65,57.06,2.6
2018,10,19.11,28.23,26.87,1.82
2018,11,15.82,23.02,24.71,1.67
2018,12,14.77,16.72,26.11,1.67
2019,1,14.78,16.13,29.3,1.79
2019,2,17.84,18.22,29.41,2.11
2019,3,21.81,24.28,25.61,2.18
2019,4,25.38,32.38,21.11,2.42
2019,5,25.84,33.74,29.2,3.0
2019,6,24.4,36.07,37.41,3.44
2019,7,20.08,33.08,56.12,4.02
2019,8,17.87,28.69,79.19,2.69
2019,9,18.87,28.45,80.63,1.66
2019,10,18.34,26.08,64.26,1.27
2019,11,13.01,22.68,66.25,1.6
2019,12,13.54,15.24,53.65,1.93
2020,1,14.25,14.95,47.99,2.02
2020,2,18.6,19.54,28.59,1.84
2020,3,20.78,23.48,38.07,2.21
2020,4,24.25,31.41,26.63,2.38
2020,5,26.6,35.28,27.81,3.38
2020,6,24.99,34.26,49.17,3.54
2020,7,22.32,32.48,61.03,3.21
2020,8,17.24,30.23,74.5,2.71
2020,9,19.36,28.46,76.46,1.78
2020,10,18.15,26.7,52.18,1.34
2020,11,15.46,20.41,45.47,1.6
2020,12,14.41,18.27,35.3,1.77
2021,1,14.54,16.52,36.52,1.94
2021,2,19.51,22.08,22.46,1.81
2021,3,22.49,27.96,21.67,2.18
2021,4,25.89,31.67,17.19,2.65
2021,5,23.51,33.47,37.43,3.51
2021,6,24.7,34.15,47.99,4.18
2021,7,19.97,32.61,58.72,4.12
2021,8,20.69,31.78,54.31,3.72
2021,9,17.34,29.58,73.95,2.11
2021,10,18.72,26.93,55.31,1.83
2021,11,14.99,22.87,40.48,1.49
2021,12,12.91,17.66,41.85,1.69
2022,1,14.48,15.6,54.93,1.75
2022,2,19.23,20.78,29.51,2.1
2022,3,22.57,28.14,21.61,2.3
2022,4,25.45,33.43,17.46,2.95
2022,5,25.0,35.74,27.26,4.53
2022,6,24.24,34.96,39.44,4.22
2022,7,16.93,30.09,74.82,2.84
2022,8,16.98,27.85,83.27,2.61
2022,9,20.88,28.31,76.8,2.12
2022,10,18.77,26.06,54.62,1.4
2022,11,15.75,22.78,41.42,1.43
2022,12,14.55,18.8,32.96,1.65
2023,1,14.9,15.21,33.56,1.82
2023,2,19.26,22.58,26.07,1.63
2023,3,20.22,26.0,33.46,1.86
2023,4,24.21,29.87,28.89,2.49
2023,5,25.12,32.43,38.71,3.27
2023,6,22.66,30.82,64.52,3.9
2023,7,20.03,29.76,79.49,2.84
2023,8,18.77,28.31,75.99,3.89
2023,9,19.88,29.51,69.04,2.32
2023,10,18.28,26.93,53.95,1.95
2023,11,13.08,23.08,41.99,1.42
2023,12,13.45,18.51,43.97,1.6
2024,1,14.52,16.65,34.53,1.77
2024,2,17.17,19.53,31.38,2.13
2024,3,21.73,25.26,23.59,2.34
2024,4,22.75,31.2,25.41,2.53
2024,5,25.47,36.68,21.84,3.18
2024,6,23.6,36.0,39.41,3.67
2024,7,19.21,32.31,66.68,3.01
2024,8,13.83,28.73,79.75,3.09
2024,9,18.48,29.12,75.6,2.06
2024,10,17.86,28.21,61.61,1.65
2024,11,15.23,24.07,40.2,1.31
2024,12,13.18,17.26,40.62,1.84
2025,1,14.94,17.53,34.64,1.8
2025,2,17.6,21.99,25.59,1.95
2025,3,22.33,26.85,19.91,2.26
2025,4,25.15,32.92,17.05,3.06
2025,5,23.61,34.45,37.89,3.33
2025,6,21.46,33.68,50.05,3.76
2025,7,15.14,29.43,76.07,3.66
2025,8,18.24,28.95,76.92,2.93
2025,9,19.19,27.56,79.34,2.4
