,T,RH,WS,Rs,P,month,season
1276,-0.037905466,0.0033438392,-0.019660043,-0.16025385,0.004353358,2,Winter
1309,0.020137684,0.036378767,0.08765351,0.066723555,0.007865172,2,Winter
1344,-0.062390517,0.024419945,-0.0022484146,-0.1457966,-0.0003918162,2,Winter
1351,-0.043861374,0.040990096,0.012569293,0.22744659,-0.0035860834,2,Winter
1364,-0.05351198,0.0372351,-0.012954357,-0.14211862,-0.00085811096,2,Winter
1378,-0.006930498,0.010106773,-0.108988225,0.44962075,0.0026582107,2,Winter
1383,-0.030194925,0.0047129327,-0.062466178,-0.14007062,-0.005173393,2,Winter
1396,-0.05039053,0.033674657,0.006412328,-0.1490229,-0.0017723042,2,Winter
1400,-0.021246891,0.047038607,0.0339138,0.35685676,0.0034132458,2,Winter
1417,-0.06876644,0.036324512,-0.0030211974,-0.14310357,-0.0025000824,3,Winter
1433,-0.047737274,0.038726263,-0.013284603,-0.14118667,-0.0006425052,3,Winter
1461,-0.058913574,0.034347646,-0.014443042,-0.14210343,-0.0014293243,3,Winter
1471,-0.04094806,0.047120187,0.036132377,0.24063095,-0.001910233,3,Winter
1473,-0.015917448,0.027320994,-0.028615268,0.45806655,0.0054124985,3,Winter
1486,-0.05483189,0.046142206,0.023430554,-0.14730552,-0.0049766824,3,Winter
1502,0.000274334,0.039545156,0.028865525,0.039946068,0.0031383692,3,Winter
1515,-0.061883472,0.024799097,-0.026146788,-0.14190966,-0.0011754277,3,Winter
1517,-0.060052555,0.030702827,-0.028230919,-0.041152593,-0.0036497025,3,Winter
1533,-0.03923812,0.034225885,-0.04014449,-0.13887942,-0.0008702281,3,Winter
1537,-0.051633343,0.031974085,-0.02499838,-0.14184414,-0.0004702867,3,Winter
1541,-0.05242499,0.030638993,-0.03482958,-0.03615851,-0.0031889258,3,Winter
1583,-0.046878364,0.03033514,-0.022877231,-0.14354253,-0.00042709248,3,Winter
1614,-0.047871176,0.044540767,0.02121798,0.12162265,-0.002927397,3,Winter
1631,-0.048212115,0.032316603,-0.011143808,-0.145143,-8.7655004e-05,3,Winter
1661,-0.054700326,0.048853636,0.05575546,-0.015821101,-0.0017259633,3,Winter
1665,0.040424097,0.017039,-0.060594235,0.48711845,0.008964793,3,Winter
1687,0.00083425065,0.01964099,-0.06248935,0.26479214,0.006230465,3,Winter
1700,-0.022295436,0.032635316,-0.046354983,-0.14449628,-0.0032780971,3,Winter
1704,-0.026063845,0.027380869,-0.05294329,-0.1467092,-0.0010660264,3,Winter
1705,-0.028913451,0.026347276,-0.046562582,-0.14732446,-0.00095492013,3,Winter
1727,-0.04038042,0.017950919,-0.013496611,-0.14762975,0.0022740406,3,Winter
1736,0.023507949,0.017988978,-0.075227454,0.3832153,0.00929782,3,Winter
1737,0.03565244,0.021975834,-0.05161228,0.44615808,0.009089997,3,Winter
1740,0.06048984,0.029598506,0.003680712,0.2713181,0.011688815,3,Winter
1741,0.054141555,0.031109797,0.00317719,0.16285823,0.013818553,3,Winter
1760,0.012682244,0.021882059,-0.054581806,0.40041867,0.008793152,3,Winter
1765,0.052670244,0.01902601,-0.056118138,0.18720575,0.010491258,3,Winter
1775,-0.04036376,0.023787882,0.021680562,-0.1520199,-0.0025873603,3,Winter
1793,-0.01927623,0.050269946,0.0060065207,-0.14744438,-0.000118694734,3,Winter
1801,-0.046906155,0.03254945,-0.02638034,-0.14227241,-0.0009844693,3,Winter
1815,-0.00390543,0.015229974,-0.075550616,-0.10462878,-0.0030177135,3,Winter
1823,-0.021181332,0.027785491,-0.08186741,-0.14462207,-0.0032411611,3,Winter
1838,0.046644595,0.016214428,-0.08270902,0.060170386,0.007333744,3,Winter
1864,-0.008801854,0.03542045,-0.03290923,-0.1494464,-0.0026077759,3,Winter
1874,-0.03772256,0.0027420933,-0.030903874,-0.14766665,0.0012849849,3,Winter
1890,-0.014825373,0.02368572,-0.014519417,-0.15465163,0.0009301437,3,Winter
1901,-0.043485295,0.021478703,0.00432766,-0.015039876,-0.00082242757,3,Winter
1917,-0.032623723,0.02747643,-0.011530452,-0.14939424,0.0010995279,3,Winter
1956,0.052194994,0.01448175,-0.0953105,0.31276876,0.013438192,3,Winter
1967,-0.039070643,0.038098015,0.0027169196,-0.14684735,-0.0054204324,3,Winter
1977,0.051208165,0.025847007,-0.024640843,0.3661408,0.012053998,3,Winter
1990,-0.03278809,0.030651568,-0.027682392,-0.14695114,-0.00024737712,3,Winter
2022,-0.016190153,0.024060879,-0.06359753,0.16746905,-0.0048236107,3,Winter
2035,-0.016779613,0.022041455,-0.026866442,-0.15418677,0.000572669,3,Winter
2049,0.05125762,0.029255003,0.06794975,0.43313983,0.009334204,3,Winter
2065,-0.02700558,-0.008369806,0.030700505,-0.1613127,-0.0001930624,3,Winter
2071,-0.02351008,0.021831308,0.10655461,0.1260758,-8.349852e-05,3,Winter
2119,-0.019073267,0.04835122,0.04847653,0.27660984,-0.004008996,3,Winter
2121,-0.0060867253,0.050533667,0.072451346,0.49391648,0.0048428727,3,Winter
2122,-0.0027791627,0.05440196,0.07727726,0.53376806,0.0050158314,3,Winter
2143,-0.007155516,0.019958697,-0.089137204,0.3282498,0.0016659664,3,Winter
2147,0.028692324,0.019636469,-0.063937224,0.48428297,0.010995392,3,Winter
2150,0.024704017,0.027349403,-0.030378867,0.061259735,0.006893997,3,Winter
2160,-0.04214007,0.013774406,-0.025517726,-0.14566313,0.0003740369,4,Summer
2176,-0.018991942,0.03988397,-0.03337997,-0.14335643,-0.0028055173,4,Summer
2204,-0.018739816,0.033590168,-0.06215591,-0.14207208,-0.0017746176,4,Summer
2207,-0.039864786,0.03663401,-0.018353311,-0.14591919,0.0016342029,4,Summer
2216,0.08071547,0.014244575,-0.09121794,0.57585573,0.009263103,4,Summer
2245,0.039501585,0.02299292,-0.02562256,-0.08120463,0.0034116353,4,Summer
2256,-0.04410235,0.026428984,-0.008648329,-0.14676479,-8.356372e-05,4,Summer
2258,-0.041343406,0.03239322,-0.0013221062,-0.10425585,-0.0016477343,4,Summer
