,T,RH,WS,Rs,P,month,season
2503,-0.014185629,0.011765821,-0.08356531,-0.15029198,0.0012551066,4,Summer
2507,-0.018468672,0.008722076,-0.08652008,-0.15013736,0.0014596388,4,Summer
2523,-0.012804077,0.01214413,-0.043902364,-0.15093258,0.001721495,4,Summer
2525,-0.019035786,0.0035027636,-0.033182155,-0.15079373,0.0019529451,4,Summer
2533,-0.011400778,0.010922015,-0.05265718,-0.013378387,0.001808377,4,Summer
2566,0.005789084,0.019962244,-0.09248396,-0.085802004,-0.00648492,4,Summer
2570,-0.021427967,0.010197539,-0.035082296,-0.14950861,0.0023064814,4,Summer
2572,-0.028976358,0.008283909,-0.0031716125,-0.15029319,0.00043322163,4,Summer
2577,-0.0458291,-0.0030495494,0.02842097,-0.17216843,-0.003068077,4,Summer
2596,-0.04031275,-0.030278036,-0.0169927,-0.1464542,0.0012949909,4,Summer
2622,-0.030567124,-0.005858941,-0.03869166,-0.14745517,0.0021122815,4,Summer
2629,0.05065599,0.038390566,0.07968975,0.57078034,0.008251625,4,Summer
2631,0.0657896,0.048354145,0.12980473,0.43436065,0.009075895,4,Summer
2681,0.08736491,0.03193188,0.027154252,0.09737098,0.007434447,4,Summer
2712,-0.0039749644,0.03233326,-0.047936797,-0.14744186,-0.0046332567,4,Summer
2754,0.02860693,0.03702367,0.0015521181,-0.16005066,-0.0054695024,4,Summer
2767,0.028970404,0.051889535,0.12057397,0.20792648,-0.0028505966,4,Summer
2781,0.011126582,0.062730424,0.08290639,-0.17266387,-0.007932627,4,Summer
2799,0.13014957,0.0466444,0.11413344,0.117288195,0.0048272023,4,Summer
2801,0.028442515,0.012030638,-0.06082457,-0.19675764,0.00037090495,4,Summer
2803,0.02495418,0.032709863,-0.037761115,-0.15709148,-0.0038003896,4,Summer
2810,-0.00785443,0.013798437,0.007390633,-0.15892635,0.0030234365,4,Summer
2854,0.016723147,0.029184965,0.020497538,-0.16238678,-0.011206466,4,Summer
2858,-0.0049440926,0.037053026,0.04631233,-0.16342972,-0.013927958,5,Summer
2874,0.0393874,0.036373146,-0.019498963,-0.1572223,0.001068518,5,Summer
2912,0.07423453,0.005611252,-0.16367427,0.45088235,0.009035344,5,Summer
2914,0.1011138,0.012886455,-0.12377794,0.5545482,0.008295431,5,Summer
2927,-0.0012421577,0.033757325,-0.024778536,-0.15453777,-0.0040234597,5,Summer
2943,0.044395022,0.008093092,-0.0959623,-0.1887598,-0.00045264966,5,Summer
2956,0.010502351,0.037969146,0.10523955,0.10236151,-0.0048966613,5,Summer
2958,0.113521904,0.04517625,0.13508609,0.41615015,0.0028880534,5,Summer
2974,0.01750928,0.06068392,0.09323569,-0.1790193,-0.006454367,5,Summer
2978,-0.0049814014,0.025086824,0.123161845,-0.1371086,0.0023533914,5,Summer
2982,0.11939372,0.044148427,0.19436133,0.41232347,0.0019151345,5,Summer
3024,-0.0059139174,0.011816423,0.09055158,-0.17874236,0.0005187371,5,Summer
3055,0.0890171,0.023294736,0.09729699,0.410464,0.0069611073,5,Summer
3072,-0.0002444104,0.017359545,0.0661239,-0.17338729,0.0006335056,5,Summer
3102,0.08671984,0.011482207,0.20229878,0.38172364,0.006601979,5,Summer
3106,0.18362406,0.06896707,0.24924266,0.5625368,0.0043865074,5,Summer
3128,0.17307602,0.060205277,0.23811193,0.5700547,0.0010599138,5,Summer
3141,0.029065713,0.057672117,0.10555835,-0.1823671,-0.005620358,5,Summer
3145,-0.007353778,0.016346576,0.10007177,-0.18125586,0.0015240841,5,Summer
3146,-0.005628614,0.008070708,0.13849145,-0.11844433,0.0036515454,5,Summer
3168,-0.0059080576,0.013466591,0.09328746,-0.17918661,0.001464577,5,Summer
3177,0.15175267,0.05638793,0.23295462,0.5905421,0.0011701288,5,Summer
3178,0.15241624,0.057835337,0.23736462,0.5502938,0.0017608587,5,Summer
3181,0.12459307,0.054292828,0.19381896,0.1361383,0.0022105945,5,Summer
3182,0.09863056,0.056144543,0.18004203,-0.00591798,0.0028096198,5,Summer
3201,0.07796239,0.010118971,-0.039258774,0.5233702,0.007629613,5,Summer
3206,0.05661395,0.0070017683,-0.04527681,-0.0629659,0.0030112183,5,Summer
3216,-0.0021712794,0.0015438295,0.017433552,-0.16311109,0.0004899067,5,Summer
3234,0.016570894,0.0039918507,-0.01706637,-0.16152507,-0.00039478583,5,Summer
3242,-0.006913819,-0.0042157574,0.10604929,-0.122748725,0.0017666894,5,Summer
3256,0.030223342,0.015059378,0.01204907,-0.16467756,-0.0017639213,5,Summer
3264,-0.0070324107,-0.005535321,0.061019808,-0.171513,0.00010152153,5,Summer
3279,0.007473193,-0.009238448,-0.050131857,-0.1594541,0.0052537248,5,Summer
3305,-0.015620712,-0.055507448,-0.012672724,-0.1580364,-0.00024367735,5,Summer
3315,-0.03922425,-0.074074626,0.07736529,-0.07104967,0.0033978343,5,Summer
3331,-0.0019346161,-0.006534511,-0.086648956,-0.15981066,-0.00027132104,5,Summer
3342,0.028353361,-0.023496596,0.08602862,0.24780351,0.010544544,5,Summer
3358,-0.018829267,-0.04300202,-0.0006339974,-0.1573971,0.0010462336,5,Summer
3408,-0.0044743847,0.0128663415,0.047656428,-0.16800073,0.0014267359,5,Summer
3418,0.15713745,0.048795342,0.1607536,0.46240503,0.009192663,5,Summer
3431,0.0014560329,0.023379548,0.083418876,-0.17911346,0.00076218945,5,Summer
3463,0.09245921,-0.0101531865,0.1555978,0.48631385,0.0052386844,5,Summer
