,T,RH,WS,Rs,P,month,season
1576,-0.027498344,0.023294723,-0.09200865,-0.1443052,-0.0013717556,3,Winter
1588,0.01771258,0.01042351,-0.12469977,0.47039583,0.0052332673,3,Winter
1607,-0.050279558,0.040593978,0.012977824,0.09513485,-0.006015876,3,Winter
1624,-0.03803506,0.032108907,-0.035364337,-0.14345413,-0.0006786953,3,Winter
1654,-0.045094408,0.022056801,-0.03777201,-0.05677234,-0.0044192984,3,Winter
1658,0.024600977,0.030123983,-0.020627894,0.5027702,0.00932974,3,Winter
1680,0.0028278688,0.044860233,0.028176747,0.2377424,0.005336845,3,Winter
1693,-0.025898613,0.030895269,-0.03590665,-0.14720087,-0.0016502073,3,Winter
1697,-0.045492288,0.027665496,0.008645124,-0.1525174,-0.0019992613,3,Winter
1698,-0.047248773,0.024638852,0.014795052,-0.15413025,0.0019251946,3,Winter
1720,-0.04110416,0.040217806,-0.007211367,-0.1458244,0.0002787936,3,Winter
1729,0.007729566,0.022162637,-0.07311322,0.3629801,-0.0016472575,3,Winter
1730,0.020290954,0.025366977,-0.048624013,0.44519302,0.0070838598,3,Winter
1733,0.03731284,0.029592995,-0.027156768,0.3532873,0.010157946,3,Winter
1734,0.04210741,0.029469578,-0.023845809,0.22467107,0.0090565,3,Winter
1758,0.02914917,0.026021162,-0.04032855,0.049437243,0.004469628,3,Winter
1768,-0.044699702,0.041594364,0.026535975,-0.15201521,-0.0008966284,3,Winter
1786,-0.026798675,0.03868699,-0.020865379,-0.14613174,-0.003541343,3,Winter
1794,-0.045512468,0.031051237,-0.031341456,-0.14288059,-0.00032662827,3,Winter
1808,-0.014419555,0.0133886915,-0.070290804,-0.20693728,-0.004454995,3,Winter
1816,-0.041019723,0.025742706,-0.013828667,-0.14863822,0.0014625557,3,Winter
1831,0.018746749,0.025280418,-0.02681717,-0.10068993,0.0014044971,3,Winter
1857,-0.012119152,0.023948856,-0.019475289,-0.15608448,0.0022966191,3,Winter
1867,-0.040496357,-0.030869357,-0.013470839,-0.15212025,0.001577765,3,Winter
1883,-0.018850073,0.021844484,0.0104172975,-0.15957564,0.0009550064,3,Winter
1894,-0.023233948,0.026931774,-5.2086383e-05,0.088750176,-0.0011227692,3,Winter
1910,-0.027683694,0.019973649,-0.059334967,-0.15168303,0.001077372,3,Winter
1970,0.029930104,0.023848921,-0.07008769,0.16798209,0.0046412474,3,Winter
1983,-0.046564024,-0.016416024,-0.0049561234,-0.15235858,0.0022160315,3,Winter
1993,0.060780518,0.038840074,0.012113445,0.252519,0.015263045,3,Winter
2015,0.060452215,0.0354009,0.043198496,0.48159125,0.008393365,3,Winter
2028,-0.029293865,-0.016623778,0.020377358,-0.16254412,-0.0002417438,3,Winter
2042,0.049921464,0.044582874,0.113783605,0.072789624,0.009692357,3,Winter
2058,-0.0620396,-0.01649168,0.09601665,0.05752371,0.0015672586,3,Winter
2064,0.023164775,0.074020885,0.15358077,0.35914117,0.016710736,3,Winter
2112,0.004128594,0.04945233,0.040146634,0.3883718,0.008369361,3,Winter
2114,-0.0025860127,0.042474695,0.033006046,0.10153818,0.0045977863,3,Winter
2115,-0.0076777367,0.036812935,0.01730709,-0.05100888,-0.0031301891,3,Winter
2136,0.030445673,0.018176483,-0.082824074,0.38394877,0.0064256415,3,Winter
2140,-0.009678416,0.032653164,-0.067116104,-0.14637455,-0.0029099854,3,Winter
2143,-0.016370153,0.02932822,-0.08122843,-0.14469433,-0.001609422,3,Winter
2148,-0.029760791,0.022077642,-0.08560972,-0.14428355,-0.00059317617,4,Summer
2164,-0.012048268,0.03527447,-0.052970372,-0.14629845,-0.0022945653,4,Summer
2192,-0.029289356,0.031141948,-0.020728339,-0.14934526,0.0007972479,4,Summer
2195,-0.038124766,0.02554534,-0.022924071,-0.15066785,0.0018324573,4,Summer
2204,0.06700746,0.03256713,-0.014494522,0.57404655,0.0047862045,4,Summer
2233,-0.0021538166,0.01760525,-0.029283706,-0.19116347,0.004725298,4,Summer
2244,-0.043576654,0.036489494,0.010177467,-0.1489333,-0.0018437264,4,Summer
2246,-0.04504246,0.052859534,0.07090392,0.02177193,-0.0037624568,4,Summer
2247,-0.02007559,0.04909121,0.04445232,0.17668457,-0.0062964903,4,Summer
