City,Period_Type,Period,Base_Value,T_SHAP,RH_SHAP,WS_SHAP,Rs_SHAP,P_SHAP
Bikaner,Month,Apr,0.27829334,0.012359650895445665,0.021843669342079427,-0.004541092413195971,0.058714117465628816,0.001066710347698718
Bikaner,Month,May,0.27829334,0.04331063341013671,0.019987899394572423,0.022018731538798138,0.06212391677137871,0.002589661802021937
Bikaner,Month,Jun,0.27829334,0.048489594805445776,0.002700089503719088,0.038402532131164464,0.03967386232370948,0.0030516527496988596
Bikaner,Month,Jul,0.27829334,0.030213544530731377,-0.020117869184115632,0.026790589780017433,0.00882566914728065,0.0030185261183942476
Bikaner,Month,Aug,0.27829334,0.01557310162779157,-0.02648210904711562,0.018954439162633195,0.023570703284882904,0.0032541877799485363
Bikaner,Month,Sep,0.27829334,0.009015435793174594,-0.016512216277467285,-0.00572741686575015,0.012266959800198676,0.0033162607983683924
Bikaner,Month,Oct,0.27829334,-0.007540571047217956,0.0059033075012025985,-0.029467313181305375,-0.008897365927418783,0.001827308874556527
Bikaner,Month,Nov,0.27829334,-0.03399331107863346,0.01004527393002682,-0.030032278794754466,-0.03160143906851852,-0.00041902781895954025
Bikaner,Month,Dec,0.27829334,-0.05762343563492736,0.0064814243227748185,-0.02287771038984564,-0.05201240774568402,-0.0013103556819854358
Jaisalmer,Season,Summer,0.2913958,0.030437712582459076,0.011059151260077624,0.02060762810868693,0.04334459867717421,0.004060716410430612
Jaisalmer,Season,Monsoon,0.2913958,0.014252141112689428,-0.023815031363437145,0.018868571587363405,0.014677583681151208,0.004657432917555286
Jaisalmer,Season,Post-Monsoon,0.2913958,-0.018101448395438424,0.0100877649114024,-0.034742370389649016,-0.017673431302170566,-0.0007387479820448029
Jaisalmer,Season,Winter,0.2913958,-0.047462058683499474,0.014114619353991243,-0.023429852643338273,-0.020065265398154546,-0.0033383765612751853
Jaisalmer,Month,Jan,0.2913958,-0.06322591707866745,0.009999363778938048,-0.02321160162589655,-0.03775914347459381,-0.00421351674999924
Jaisalmer,Month,Feb,0.2913958,-0.04897109521348659,0.015657222584903638,-0.020704631216701148,-0.020705716076628355,-0.003439897834133078
Jaisalmer,Month,Mar,0.2913958,-0.02138747911296706,0.018827015617235293,-0.023023843898165294,0.017372604317117648,-0.001494081000053941
Jaisalmer,Month,Apr,0.2913958,0.011332864028607035,0.022912382531520777,-0.008062484249157065,0.03702443477758338,0.0018832217209217709
Jaisalmer,Month,May,0.2913958,0.037008122356607685,0.013079164841800349,0.02165335930926077,0.05324364899610012,0.004844158809919674
Jaisalmer,Month,Jun,0.2913958,0.04256484591978045,-0.002747904348806239,0.04789044099140972,0.03939461776686263,0.005407287916536113
Jaisalmer,Month,Jul,0.2913958,0.02722610187652811,-0.021746701427846106,0.034658679806364695,0.015905290160696865,0.0050910658187066195
Jaisalmer,Month,Aug,0.2913958,0.01026367700560733,-0.030170461144502034,0.022458610062280396,0.01844756828423502,0.004786638046334846
Jaisalmer,Month,Sep,0.2913958,0.004912581019048855,-0.01937394593245838,-0.0012531669479215921,0.009493799549378769,0.0040731027172207475
Jaisalmer,Month,Oct,0.2913958,-0.00412238576740059,0.006787690493734513,-0.03471546520426549,0.0021718123796460177,0.001367271290290018
Jaisalmer,Month,Nov,0.2913958,-0.03335869962179008,0.013689584704027688,-0.03477173567569221,-0.039333243305183514,-0.0030373330861063106
Jaisalmer,Month,Dec,0.2913958,-0.05662567258925305,0.012045189025013447,-0.026688617381572126,-0.03984962197803545,-0.004242383454841076
Jodhpur,Season,Summer,0.26887304,0.039715205532037695,0.013760432557793394,0.025755932552479547,0.04477939505577663,0.0024998310054552787
Jodhpur,Season,Monsoon,0.26887304,0.0014173490252947097,-0.03371589762499625,0.005824407161155942,-0.002600535874897552,0.001447243639942341
Jodhpur,Season,Post-Monsoon,0.26887304,-0.01767319818396711,0.004589349501869737,-0.027921502331175456,-0.012965189736846986,0.0015535370009499227
Jodhpur,Season,Winter,0.26887304,-0.03878899630989342,0.01646659066692724,-0.015123773409679195,-0.01826994328594558,-0.00029563671695329225
Jodhpur,Month,Jan,0.26887304,-0.054022315907182934,0.012777903132009352,-0.015403369164324372,-0.03334126483696084,-0.0014986033284340738
Jodhpur,Month,Feb,0.26887304,-0.04131104862373087,0.018444069280302934,-0.013825977088330357,-0.013628606111288265,-0.0005432497502959184
Jodhpur,Month,Mar,0.26887304,-0.012100341619005223,0.022353791779260012,-0.012295438903269878,0.023709191573650607,0.0015420085602779454
Jodhpur,Month,Apr,0.26887304,0.022184006766975215,0.026349572030465538,0.0013480138041544135,0.035321184604171704,0.002243463100735949
Jodhpur,Month,May,0.26887304,0.05125672790624956,0.018664818857431067,0.03744045221859279,0.058738561419005235,0.003315538241582199
Jodhpur,Month,Jun,0.26887304,0.04520484929471343,-0.0037773832317011392,0.03791720851391906,0.039772244641247005,0.001913399216188849
Jodhpur,Month,Jul,0.26887304,0.012847828363773652,-0.0318350001018137,0.021740217996704003,-0.00581795840965177,0.000958474633263668
Jodhpur,Month,Aug,0.26887304,-0.004040411967142008,-0.039503618884534755,0.006673597992902555,-0.0033824664169102786,0.0015407433187026739
Jodhpur,Month,Sep,0.26887304,-0.004913557089119879,-0.029800266030201205,-0.011556394187927711,0.0015317581790716868,0.0018597671575048193
Jodhpur,Month,Oct,0.26887304,-0.008146184249661922,-0.0014408709376180309,-0.028742681054661923,0.0005593985976868327,0.002273879263527758
Jodhpur,Month,Nov,0.26887304,-0.02804282083938257,0.011152907707793803,-0.027027695147316077,-0.02768594889244674,0.0007694846738316333
Jodhpur,Month,Dec,0.26887304,-0.048465217021009095,0.012264778782031515,-0.01902060774314606,-0.05088850987937576,-0.0007318365376469697
